session_id,timestamp,rating,comment
ji2oilr879q,2025-07-08T11:14:21.353554,1,
ji2oilr879q_20250727124149,2025-07-27T12:41:49.002198,1,
ji2oilr879q_20250727124211,2025-07-27T12:42:11.356211,1,
ji2oilr879q_20250727124228,2025-07-27T12:42:28.820554,1,
ji2oilr879q_20250727124842,2025-07-27T12:48:42.723516,1,
ji2oilr879q_20250727124905,2025-07-27T12:49:05.954093,1,
ji2oilr879q_20250727124935,2025-07-27T12:49:35.435438,1,
ji2oilr879q_20250727125016,2025-07-27T12:50:16.858296,1,
ji2oilr879q_20250727125037,2025-07-27T12:50:37.506127,1,
ji2oilr879q_20250727125122,2025-07-27T12:51:22.921993,0,
ji2oilr879q_20250727130243,2025-07-27T13:02:43.927211,1,
ji2oilr879q_20250727130309,2025-07-27T13:03:09.494015,1,
ji2oilr879q_20250727130329,2025-07-27T13:03:29.436980,1,
zb918v523a8,2025-07-09T14:47:41.038731,1,
zb918v523a8_20250710103807,2025-07-10T10:38:07.659242,0,
zb918v523a8_20250710105919,2025-07-10T10:59:19.044749,1,
zb918v523a8_20250710110020,2025-07-10T11:00:20.422054,1,
zb918v523a8_20250713095036,2025-07-13T09:50:36.563927,1,
zb918v523a8_20250723095446,2025-07-23T09:54:46.620145,1,
zb918v523a8_20250723095510,2025-07-23T09:55:10.488762,1,
zb918v523a8_20250723095526,2025-07-23T09:55:26.032646,1,
zb918v523a8_20250723095542,2025-07-23T09:55:42.148355,1,
zb918v523a8_20250723095605,2025-07-23T09:56:05.597319,0,
zb918v523a8_20250723103509,2025-07-23T10:35:09.233762,1,
zb918v523a8_20250723104029,2025-07-23T10:40:29.699548,1,
zb918v523a8_20250723104051,2025-07-23T10:40:51.454247,1,
